@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.44-3.68]\'',-0.897674,1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'',-1.1392,1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'',-1.380727,1.3,0.2,Iris-setosa
'\'(2.96-3.2]\'',-1.50149,1.5,0.2,Iris-setosa
'\'(3.44-3.68]\'',-1.018437,1.4,0.2,Iris-setosa
'\'(3.68-3.92]\'',-0.535384,1.7,0.4,Iris-setosa
'\'(3.2-3.44]\'',-1.50149,1.4,0.3,Iris-setosa
'\'(3.2-3.44]\'',-1.018437,1.5,0.2,Iris-setosa
'\'(2.72-2.96]\'',-1.743017,1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'',-1.1392,1.5,0.1,Iris-setosa
'\'(3.68-3.92]\'',-0.535384,1.5,0.2,Iris-setosa
'\'(3.2-3.44]\'',-1.259964,1.6,0.2,Iris-setosa
'\'(2.96-3.2]\'',-1.259964,1.4,0.1,Iris-setosa
'\'(2.96-3.2]\'',-1.86378,1.1,0.1,Iris-setosa
'\'(3.92-4.16]\'',-0.052331,1.2,0.2,Iris-setosa
'\'(4.16-inf)\'',-0.173094,1.5,0.4,Iris-setosa
'\'(3.68-3.92]\'',-0.535384,1.3,0.4,Iris-setosa
'\'(3.44-3.68]\'',-0.897674,1.4,0.3,Iris-setosa
'\'(3.68-3.92]\'',-0.173094,1.7,0.3,Iris-setosa
'\'(3.68-3.92]\'',-0.897674,1.5,0.3,Iris-setosa
'\'(3.2-3.44]\'',-0.535384,1.7,0.2,Iris-setosa
'\'(3.68-3.92]\'',-0.897674,1.5,0.4,Iris-setosa
'\'(3.44-3.68]\'',-1.50149,1,0.2,Iris-setosa
'\'(3.2-3.44]\'',-0.897674,1.7,0.5,Iris-setosa
'\'(3.2-3.44]\'',-1.259964,1.9,0.2,Iris-setosa
'\'(2.96-3.2]\'',-1.018437,1.6,0.2,Iris-setosa
'\'(3.2-3.44]\'',-1.018437,1.6,0.4,Iris-setosa
'\'(3.44-3.68]\'',-0.776911,1.5,0.2,Iris-setosa
'\'(3.2-3.44]\'',-0.776911,1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'',-1.380727,1.6,0.2,Iris-setosa
'\'(2.96-3.2]\'',-1.259964,1.6,0.2,Iris-setosa
'\'(3.2-3.44]\'',-0.535384,1.5,0.4,Iris-setosa
'\'(3.92-4.16]\'',-0.776911,1.5,0.1,Iris-setosa
'\'(4.16-inf)\'',-0.414621,1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'',-1.1392,1.5,0.1,Iris-setosa
'\'(2.96-3.2]\'',-1.018437,1.2,0.2,Iris-setosa
'\'(3.44-3.68]\'',-0.414621,1.3,0.2,Iris-setosa
'\'(2.96-3.2]\'',-1.1392,1.5,0.1,Iris-setosa
'\'(2.96-3.2]\'',-1.743017,1.3,0.2,Iris-setosa
'\'(3.2-3.44]\'',-0.897674,1.5,0.2,Iris-setosa
'\'(3.44-3.68]\'',-1.018437,1.3,0.3,Iris-setosa
