@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-sepal width in cm' {'\'(-inf-2.24]\'','\'(2.24-2.48]\'','\'(2.48-2.72]\'','\'(2.72-2.96]\'','\'(2.96-3.2]\'','\'(3.2-3.44]\'','\'(3.44-3.68]\'','\'(3.68-3.92]\'','\'(3.92-4.16]\'','\'(4.16-inf)\''}
@attribute 'unfiltered-filtered-0-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute 'unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(3.44-3.68]\'','\'(5.02-5.38]\'',1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'','\'(4.66-5.02]\'',1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'','\'(4.66-5.02]\'',1.3,0.2,Iris-setosa
'\'(2.96-3.2]\'','\'(-inf-4.66]\'',1.5,0.2,Iris-setosa
'\'(3.44-3.68]\'','\'(4.66-5.02]\'',1.4,0.2,Iris-setosa
'\'(3.68-3.92]\'','\'(5.38-5.74]\'',1.7,0.4,Iris-setosa
'\'(3.2-3.44]\'','\'(-inf-4.66]\'',1.4,0.3,Iris-setosa
'\'(3.2-3.44]\'','\'(4.66-5.02]\'',1.5,0.2,Iris-setosa
'\'(2.72-2.96]\'','\'(-inf-4.66]\'',1.4,0.2,Iris-setosa
'\'(2.96-3.2]\'','\'(4.66-5.02]\'',1.5,0.1,Iris-setosa
'\'(3.68-3.92]\'','\'(5.38-5.74]\'',1.5,0.2,Iris-setosa
'\'(3.2-3.44]\'','\'(4.66-5.02]\'',1.6,0.2,Iris-setosa
'\'(2.96-3.2]\'','\'(4.66-5.02]\'',1.4,0.1,Iris-setosa
