@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf-0.059322]\'','\'(0.059322-0.076271]\'','\'(0.076271-0.09322]\'','\'(0.09322-0.40678]\'','\'(0.40678-0.533898]\'','\'(0.533898-0.601695]\'','\'(0.601695-0.669492]\'','\'(0.669492-0.737288]\'','\'(0.737288-0.805085]\'','\'(0.805085-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,'\'(0.059322-0.076271]\'',3.5,0.2,Iris-setosa
0.166667,'\'(0.059322-0.076271]\'',3,0.2,Iris-setosa
0.111111,'\'(-inf-0.059322]\'',3.2,0.2,Iris-setosa
0.083333,'\'(0.076271-0.09322]\'',3.1,0.2,Iris-setosa
0.194444,'\'(0.059322-0.076271]\'',3.6,0.2,Iris-setosa
0.305556,'\'(0.09322-0.40678]\'',3.9,0.4,Iris-setosa
0.083333,'\'(0.059322-0.076271]\'',3.4,0.3,Iris-setosa
0.194444,'\'(0.076271-0.09322]\'',3.4,0.2,Iris-setosa
0.027778,'\'(0.059322-0.076271]\'',2.9,0.2,Iris-setosa
0.166667,'\'(0.076271-0.09322]\'',3.1,0.1,Iris-setosa
0.305556,'\'(0.076271-0.09322]\'',3.7,0.2,Iris-setosa
0.138889,'\'(0.09322-0.40678]\'',3.4,0.2,Iris-setosa
0.138889,'\'(0.059322-0.076271]\'',3,0.1,Iris-setosa
0,'\'(-inf-0.059322]\'',3,0.1,Iris-setosa
0.416667,'\'(-inf-0.059322]\'',4,0.2,Iris-setosa
0.388889,'\'(0.076271-0.09322]\'',4.4,0.4,Iris-setosa
0.305556,'\'(-inf-0.059322]\'',3.9,0.4,Iris-setosa
0.222222,'\'(0.059322-0.076271]\'',3.5,0.3,Iris-setosa
0.388889,'\'(0.09322-0.40678]\'',3.8,0.3,Iris-setosa
0.222222,'\'(0.076271-0.09322]\'',3.8,0.3,Iris-setosa
0.305556,'\'(0.09322-0.40678]\'',3.4,0.2,Iris-setosa
0.222222,'\'(0.076271-0.09322]\'',3.7,0.4,Iris-setosa
0.083333,'\'(-inf-0.059322]\'',3.6,0.2,Iris-setosa
0.222222,'\'(0.09322-0.40678]\'',3.3,0.5,Iris-setosa
0.138889,'\'(0.09322-0.40678]\'',3.4,0.2,Iris-setosa
0.194444,'\'(0.09322-0.40678]\'',3,0.2,Iris-setosa
0.194444,'\'(0.09322-0.40678]\'',3.4,0.4,Iris-setosa
0.25,'\'(0.076271-0.09322]\'',3.5,0.2,Iris-setosa
0.25,'\'(0.059322-0.076271]\'',3.4,0.2,Iris-setosa
0.111111,'\'(0.09322-0.40678]\'',3.2,0.2,Iris-setosa
0.138889,'\'(0.09322-0.40678]\'',3.1,0.2,Iris-setosa
0.305556,'\'(0.076271-0.09322]\'',3.4,0.4,Iris-setosa
0.25,'\'(0.076271-0.09322]\'',4.1,0.1,Iris-setosa
0.333333,'\'(0.059322-0.076271]\'',4.2,0.2,Iris-setosa
0.166667,'\'(0.076271-0.09322]\'',3.1,0.1,Iris-setosa
0.194444,'\'(-inf-0.059322]\'',3.2,0.2,Iris-setosa
0.333333,'\'(-inf-0.059322]\'',3.5,0.2,Iris-setosa
0.166667,'\'(0.076271-0.09322]\'',3.1,0.1,Iris-setosa
0.027778,'\'(-inf-0.059322]\'',3,0.2,Iris-setosa
0.222222,'\'(0.076271-0.09322]\'',3.4,0.2,Iris-setosa
0.194444,'\'(-inf-0.059322]\'',3.5,0.3,Iris-setosa
0.055556,'\'(-inf-0.059322]\'',2.3,0.3,Iris-setosa
0.027778,'\'(-inf-0.059322]\'',3.2,0.2,Iris-setosa
0.194444,'\'(0.09322-0.40678]\'',3.5,0.6,Iris-setosa
0.222222,'\'(0.09322-0.40678]\'',3.8,0.4,Iris-setosa
