@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf--1.22911]\'','\'(-1.22911--0.894723]\'','\'(-0.894723--0.560335]\'','\'(-0.560335--0.225948]\'','\'(-0.225948-0.10844]\'','\'(0.10844-0.442827]\'','\'(0.442827-0.777215]\'','\'(0.777215-1.111602]\'','\'(1.111602-1.445989]\'','\'(1.445989-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,'\'(-inf--1.22911]\'',3.5,0.2,Iris-setosa
0.166667,'\'(-inf--1.22911]\'',3,0.2,Iris-setosa
0.111111,'\'(-inf--1.22911]\'',3.2,0.2,Iris-setosa
0.083333,'\'(-inf--1.22911]\'',3.1,0.2,Iris-setosa
0.194444,'\'(-inf--1.22911]\'',3.6,0.2,Iris-setosa
0.305556,'\'(-1.22911--0.894723]\'',3.9,0.4,Iris-setosa
0.083333,'\'(-inf--1.22911]\'',3.4,0.3,Iris-setosa
0.194444,'\'(-inf--1.22911]\'',3.4,0.2,Iris-setosa
0.027778,'\'(-inf--1.22911]\'',2.9,0.2,Iris-setosa
0.166667,'\'(-inf--1.22911]\'',3.1,0.1,Iris-setosa
0.305556,'\'(-inf--1.22911]\'',3.7,0.2,Iris-setosa
0.138889,'\'(-1.22911--0.894723]\'',3.4,0.2,Iris-setosa
0.138889,'\'(-inf--1.22911]\'',3,0.1,Iris-setosa
0,'\'(-inf--1.22911]\'',3,0.1,Iris-setosa
0.416667,'\'(-inf--1.22911]\'',4,0.2,Iris-setosa
0.388889,'\'(-inf--1.22911]\'',4.4,0.4,Iris-setosa
0.305556,'\'(-inf--1.22911]\'',3.9,0.4,Iris-setosa
0.222222,'\'(-inf--1.22911]\'',3.5,0.3,Iris-setosa
0.388889,'\'(-1.22911--0.894723]\'',3.8,0.3,Iris-setosa
0.222222,'\'(-inf--1.22911]\'',3.8,0.3,Iris-setosa
0.305556,'\'(-1.22911--0.894723]\'',3.4,0.2,Iris-setosa
0.222222,'\'(-inf--1.22911]\'',3.7,0.4,Iris-setosa
0.083333,'\'(-inf--1.22911]\'',3.6,0.2,Iris-setosa
0.222222,'\'(-1.22911--0.894723]\'',3.3,0.5,Iris-setosa
0.138889,'\'(-1.22911--0.894723]\'',3.4,0.2,Iris-setosa
0.194444,'\'(-1.22911--0.894723]\'',3,0.2,Iris-setosa
0.194444,'\'(-1.22911--0.894723]\'',3.4,0.4,Iris-setosa
0.25,'\'(-inf--1.22911]\'',3.5,0.2,Iris-setosa
0.25,'\'(-inf--1.22911]\'',3.4,0.2,Iris-setosa
0.111111,'\'(-1.22911--0.894723]\'',3.2,0.2,Iris-setosa
0.138889,'\'(-1.22911--0.894723]\'',3.1,0.2,Iris-setosa
0.305556,'\'(-inf--1.22911]\'',3.4,0.4,Iris-setosa
0.25,'\'(-inf--1.22911]\'',4.1,0.1,Iris-setosa
0.333333,'\'(-inf--1.22911]\'',4.2,0.2,Iris-setosa
0.166667,'\'(-inf--1.22911]\'',3.1,0.1,Iris-setosa
0.194444,'\'(-inf--1.22911]\'',3.2,0.2,Iris-setosa
0.333333,'\'(-inf--1.22911]\'',3.5,0.2,Iris-setosa
0.166667,'\'(-inf--1.22911]\'',3.1,0.1,Iris-setosa
0.027778,'\'(-inf--1.22911]\'',3,0.2,Iris-setosa
0.222222,'\'(-inf--1.22911]\'',3.4,0.2,Iris-setosa
0.194444,'\'(-inf--1.22911]\'',3.5,0.3,Iris-setosa
0.055556,'\'(-inf--1.22911]\'',2.3,0.3,Iris-setosa
0.027778,'\'(-inf--1.22911]\'',3.2,0.2,Iris-setosa
