@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' {'\'(-inf-4.66]\'','\'(4.66-5.02]\'','\'(5.02-5.38]\'','\'(5.38-5.74]\'','\'(5.74-6.1]\'','\'(6.1-6.46]\'','\'(6.46-6.82]\'','\'(6.82-7.18]\'','\'(7.18-7.54]\'','\'(7.54-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf--1.22911]\'','\'(-1.22911--0.894723]\'','\'(-0.894723--0.560335]\'','\'(-0.560335--0.225948]\'','\'(-0.225948-0.10844]\'','\'(0.10844-0.442827]\'','\'(0.442827-0.777215]\'','\'(0.777215-1.111602]\'','\'(1.111602-1.445989]\'','\'(1.445989-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.02-5.38]\'','\'(-inf--1.22911]\'',3.5,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf--1.22911]\'',3,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf--1.22911]\'',3.2,0.2,Iris-setosa
'\'(-inf-4.66]\'','\'(-inf--1.22911]\'',3.1,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf--1.22911]\'',3.6,0.2,Iris-setosa
'\'(5.38-5.74]\'','\'(-1.22911--0.894723]\'',3.9,0.4,Iris-setosa
'\'(-inf-4.66]\'','\'(-inf--1.22911]\'',3.4,0.3,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf--1.22911]\'',3.4,0.2,Iris-setosa
'\'(-inf-4.66]\'','\'(-inf--1.22911]\'',2.9,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf--1.22911]\'',3.1,0.1,Iris-setosa
'\'(5.38-5.74]\'','\'(-inf--1.22911]\'',3.7,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-1.22911--0.894723]\'',3.4,0.2,Iris-setosa
'\'(4.66-5.02]\'','\'(-inf--1.22911]\'',3,0.1,Iris-setosa
'\'(-inf-4.66]\'','\'(-inf--1.22911]\'',3,0.1,Iris-setosa
'\'(5.74-6.1]\'','\'(-inf--1.22911]\'',4,0.2,Iris-setosa
