@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R1-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-unfiltered-sepal length in cm' {'\'(-inf-4.85]\'','\'(4.85-5.05]\'','\'(5.05-5.35]\'','\'(5.35-5.55]\'','\'(5.55-5.75]\'','\'(5.75-6.05]\'','\'(6.05-6.35]\'','\'(6.35-6.65]\'','\'(6.65-6.95]\'','\'(6.95-inf)\''}
@attribute 'unfiltered-filtered-0-filtered-0-petal length in cm' {'\'(-inf--1.365132]\'','\'(-1.365132--1.308456]\'','\'(-1.308456--1.25178]\'','\'(-1.25178--0.203277]\'','\'(-0.203277-0.221791]\'','\'(0.221791-0.448495]\'','\'(0.448495-0.675198]\'','\'(0.675198-0.901901]\'','\'(0.901901-1.128605]\'','\'(1.128605-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-petal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(5.05-5.35]\'','\'(-1.365132--1.308456]\'',3.5,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.365132--1.308456]\'',3,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.365132]\'',3.2,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.308456--1.25178]\'',3.1,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.365132--1.308456]\'',3.6,0.2,Iris-setosa
'\'(5.35-5.55]\'','\'(-1.25178--0.203277]\'',3.9,0.4,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.365132--1.308456]\'',3.4,0.3,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.308456--1.25178]\'',3.4,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.365132--1.308456]\'',2.9,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.308456--1.25178]\'',3.1,0.1,Iris-setosa
'\'(5.35-5.55]\'','\'(-1.308456--1.25178]\'',3.7,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.25178--0.203277]\'',3.4,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.365132--1.308456]\'',3,0.1,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.365132]\'',3,0.1,Iris-setosa
'\'(5.75-6.05]\'','\'(-inf--1.365132]\'',4,0.2,Iris-setosa
'\'(5.55-5.75]\'','\'(-1.308456--1.25178]\'',4.4,0.4,Iris-setosa
'\'(5.35-5.55]\'','\'(-inf--1.365132]\'',3.9,0.4,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.365132--1.308456]\'',3.5,0.3,Iris-setosa
'\'(5.55-5.75]\'','\'(-1.25178--0.203277]\'',3.8,0.3,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.308456--1.25178]\'',3.8,0.3,Iris-setosa
'\'(5.35-5.55]\'','\'(-1.25178--0.203277]\'',3.4,0.2,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.308456--1.25178]\'',3.7,0.4,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.365132]\'',3.6,0.2,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.25178--0.203277]\'',3.3,0.5,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.25178--0.203277]\'',3.4,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.25178--0.203277]\'',3,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.25178--0.203277]\'',3.4,0.4,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.308456--1.25178]\'',3.5,0.2,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.365132--1.308456]\'',3.4,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.25178--0.203277]\'',3.2,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.25178--0.203277]\'',3.1,0.2,Iris-setosa
'\'(5.35-5.55]\'','\'(-1.308456--1.25178]\'',3.4,0.4,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.308456--1.25178]\'',4.1,0.1,Iris-setosa
'\'(5.35-5.55]\'','\'(-1.365132--1.308456]\'',4.2,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.308456--1.25178]\'',3.1,0.1,Iris-setosa
'\'(4.85-5.05]\'','\'(-inf--1.365132]\'',3.2,0.2,Iris-setosa
'\'(5.35-5.55]\'','\'(-inf--1.365132]\'',3.5,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.308456--1.25178]\'',3.1,0.1,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.365132]\'',3,0.2,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.308456--1.25178]\'',3.4,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-inf--1.365132]\'',3.5,0.3,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.365132]\'',2.3,0.3,Iris-setosa
'\'(-inf-4.85]\'','\'(-inf--1.365132]\'',3.2,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.25178--0.203277]\'',3.5,0.6,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.25178--0.203277]\'',3.8,0.4,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.365132--1.308456]\'',3,0.3,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.25178--0.203277]\'',3.8,0.2,Iris-setosa
'\'(-inf-4.85]\'','\'(-1.365132--1.308456]\'',3.2,0.2,Iris-setosa
'\'(5.05-5.35]\'','\'(-1.308456--1.25178]\'',3.7,0.2,Iris-setosa
'\'(4.85-5.05]\'','\'(-1.365132--1.308456]\'',3.3,0.2,Iris-setosa
'\'(6.95-inf)\'','\'(0.448495-0.675198]\'',3.2,1.4,Iris-versicolor
'\'(6.35-6.65]\'','\'(0.221791-0.448495]\'',3.2,1.5,Iris-versicolor
'\'(6.65-6.95]\'','\'(0.448495-0.675198]\'',3.1,1.5,Iris-versicolor
'\'(5.35-5.55]\'','\'(-0.203277-0.221791]\'',2.3,1.3,Iris-versicolor
'\'(6.35-6.65]\'','\'(0.448495-0.675198]\'',2.8,1.5,Iris-versicolor
'\'(5.55-5.75]\'','\'(0.221791-0.448495]\'',2.8,1.3,Iris-versicolor
'\'(6.05-6.35]\'','\'(0.448495-0.675198]\'',3.3,1.6,Iris-versicolor
'\'(4.85-5.05]\'','\'(-1.25178--0.203277]\'',2.4,1,Iris-versicolor
'\'(6.35-6.65]\'','\'(0.448495-0.675198]\'',2.9,1.3,Iris-versicolor
'\'(5.05-5.35]\'','\'(-0.203277-0.221791]\'',2.7,1.4,Iris-versicolor
'\'(4.85-5.05]\'','\'(-0.203277-0.221791]\'',2,1,Iris-versicolor
'\'(5.75-6.05]\'','\'(0.221791-0.448495]\'',3,1.5,Iris-versicolor
'\'(5.75-6.05]\'','\'(-0.203277-0.221791]\'',2.2,1,Iris-versicolor
'\'(6.05-6.35]\'','\'(0.448495-0.675198]\'',2.9,1.4,Iris-versicolor
'\'(5.55-5.75]\'','\'(-0.203277-0.221791]\'',2.9,1.3,Iris-versicolor
'\'(6.65-6.95]\'','\'(0.221791-0.448495]\'',3.1,1.4,Iris-versicolor
'\'(5.55-5.75]\'','\'(0.221791-0.448495]\'',3,1.5,Iris-versicolor
'\'(5.75-6.05]\'','\'(-0.203277-0.221791]\'',2.7,1,Iris-versicolor
'\'(6.05-6.35]\'','\'(0.221791-0.448495]\'',2.2,1.5,Iris-versicolor
'\'(5.55-5.75]\'','\'(-0.203277-0.221791]\'',2.5,1.1,Iris-versicolor
'\'(5.75-6.05]\'','\'(0.448495-0.675198]\'',3.2,1.8,Iris-versicolor
'\'(6.05-6.35]\'','\'(-0.203277-0.221791]\'',2.8,1.3,Iris-versicolor
'\'(6.05-6.35]\'','\'(0.448495-0.675198]\'',2.5,1.5,Iris-versicolor
'\'(6.05-6.35]\'','\'(0.448495-0.675198]\'',2.8,1.2,Iris-versicolor
'\'(6.35-6.65]\'','\'(0.221791-0.448495]\'',2.9,1.3,Iris-versicolor
'\'(6.35-6.65]\'','\'(0.221791-0.448495]\'',3,1.4,Iris-versicolor
'\'(6.65-6.95]\'','\'(0.448495-0.675198]\'',2.8,1.4,Iris-versicolor
'\'(6.65-6.95]\'','\'(0.675198-0.901901]\'',3,1.7,Iris-versicolor
'\'(5.75-6.05]\'','\'(0.221791-0.448495]\'',2.9,1.5,Iris-versicolor
'\'(5.55-5.75]\'','\'(-0.203277-0.221791]\'',2.6,1,Iris-versicolor
'\'(5.35-5.55]\'','\'(-0.203277-0.221791]\'',2.4,1.1,Iris-versicolor
'\'(5.35-5.55]\'','\'(-0.203277-0.221791]\'',2.4,1,Iris-versicolor
'\'(5.75-6.05]\'','\'(-0.203277-0.221791]\'',2.7,1.2,Iris-versicolor
'\'(5.75-6.05]\'','\'(0.675198-0.901901]\'',2.7,1.6,Iris-versicolor
'\'(5.35-5.55]\'','\'(0.221791-0.448495]\'',3,1.5,Iris-versicolor
'\'(5.75-6.05]\'','\'(0.221791-0.448495]\'',3.4,1.6,Iris-versicolor
'\'(6.65-6.95]\'','\'(0.448495-0.675198]\'',3.1,1.5,Iris-versicolor
'\'(6.05-6.35]\'','\'(0.221791-0.448495]\'',2.3,1.3,Iris-versicolor
'\'(5.55-5.75]\'','\'(-0.203277-0.221791]\'',3,1.3,Iris-versicolor
'\'(5.35-5.55]\'','\'(-0.203277-0.221791]\'',2.5,1.3,Iris-versicolor
'\'(5.35-5.55]\'','\'(0.221791-0.448495]\'',2.6,1.2,Iris-versicolor
'\'(6.05-6.35]\'','\'(0.448495-0.675198]\'',3,1.4,Iris-versicolor
'\'(5.75-6.05]\'','\'(-0.203277-0.221791]\'',2.6,1.2,Iris-versicolor
'\'(4.85-5.05]\'','\'(-1.25178--0.203277]\'',2.3,1,Iris-versicolor
'\'(5.55-5.75]\'','\'(0.221791-0.448495]\'',2.7,1.3,Iris-versicolor
'\'(5.55-5.75]\'','\'(0.221791-0.448495]\'',3,1.2,Iris-versicolor
'\'(5.55-5.75]\'','\'(0.221791-0.448495]\'',2.9,1.3,Iris-versicolor
'\'(6.05-6.35]\'','\'(0.221791-0.448495]\'',2.9,1.3,Iris-versicolor
