@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2'

@attribute 'filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,-1.308593,3.5,1.4,Iris-setosa
0.166667,-1.308593,3,1.4,Iris-setosa
0.111111,-1.308593,3.2,1.3,Iris-setosa
0.083333,-1.308593,3.1,1.5,Iris-setosa
0.194444,-1.308593,3.6,1.4,Iris-setosa
0.305556,-1.046525,3.9,1.7,Iris-setosa
0.083333,-1.177559,3.4,1.4,Iris-setosa
0.194444,-1.308593,3.4,1.5,Iris-setosa
0.027778,-1.308593,2.9,1.4,Iris-setosa
0.166667,-1.439627,3.1,1.5,Iris-setosa
0.305556,-1.308593,3.7,1.5,Iris-setosa
0.138889,-1.308593,3.4,1.6,Iris-setosa
0.138889,-1.439627,3,1.4,Iris-setosa
0,-1.439627,3,1.1,Iris-setosa
0.416667,-1.308593,4,1.2,Iris-setosa
0.388889,-1.046525,4.4,1.5,Iris-setosa
0.305556,-1.046525,3.9,1.3,Iris-setosa
0.222222,-1.177559,3.5,1.4,Iris-setosa
0.388889,-1.177559,3.8,1.7,Iris-setosa
0.222222,-1.177559,3.8,1.5,Iris-setosa
0.305556,-1.308593,3.4,1.7,Iris-setosa
0.222222,-1.046525,3.7,1.5,Iris-setosa
0.083333,-1.308593,3.6,1,Iris-setosa
0.222222,-0.915491,3.3,1.7,Iris-setosa
0.138889,-1.308593,3.4,1.9,Iris-setosa
0.194444,-1.308593,3,1.6,Iris-setosa
0.194444,-1.046525,3.4,1.6,Iris-setosa
0.25,-1.308593,3.5,1.5,Iris-setosa
0.25,-1.308593,3.4,1.4,Iris-setosa
0.111111,-1.308593,3.2,1.6,Iris-setosa
0.138889,-1.308593,3.1,1.6,Iris-setosa
0.305556,-1.046525,3.4,1.5,Iris-setosa
