@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R2'

@attribute 'filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
-0.897674,'\'(-inf-0.34]\'',3.5,1.4,Iris-setosa
-1.1392,'\'(-inf-0.34]\'',3,1.4,Iris-setosa
-1.380727,'\'(-inf-0.34]\'',3.2,1.3,Iris-setosa
-1.50149,'\'(-inf-0.34]\'',3.1,1.5,Iris-setosa
-1.018437,'\'(-inf-0.34]\'',3.6,1.4,Iris-setosa
-0.535384,'\'(0.34-0.58]\'',3.9,1.7,Iris-setosa
-1.50149,'\'(-inf-0.34]\'',3.4,1.4,Iris-setosa
-1.018437,'\'(-inf-0.34]\'',3.4,1.5,Iris-setosa
-1.743017,'\'(-inf-0.34]\'',2.9,1.4,Iris-setosa
-1.1392,'\'(-inf-0.34]\'',3.1,1.5,Iris-setosa
-0.535384,'\'(-inf-0.34]\'',3.7,1.5,Iris-setosa
-1.259964,'\'(-inf-0.34]\'',3.4,1.6,Iris-setosa
-1.259964,'\'(-inf-0.34]\'',3,1.4,Iris-setosa
-1.86378,'\'(-inf-0.34]\'',3,1.1,Iris-setosa
-0.052331,'\'(-inf-0.34]\'',4,1.2,Iris-setosa
-0.173094,'\'(0.34-0.58]\'',4.4,1.5,Iris-setosa
-0.535384,'\'(0.34-0.58]\'',3.9,1.3,Iris-setosa
-0.897674,'\'(-inf-0.34]\'',3.5,1.4,Iris-setosa
-0.173094,'\'(-inf-0.34]\'',3.8,1.7,Iris-setosa
-0.897674,'\'(-inf-0.34]\'',3.8,1.5,Iris-setosa
-0.535384,'\'(-inf-0.34]\'',3.4,1.7,Iris-setosa
-0.897674,'\'(0.34-0.58]\'',3.7,1.5,Iris-setosa
-1.50149,'\'(-inf-0.34]\'',3.6,1,Iris-setosa
-0.897674,'\'(0.34-0.58]\'',3.3,1.7,Iris-setosa
-1.259964,'\'(-inf-0.34]\'',3.4,1.9,Iris-setosa
-1.018437,'\'(-inf-0.34]\'',3,1.6,Iris-setosa
-1.018437,'\'(0.34-0.58]\'',3.4,1.6,Iris-setosa
-0.776911,'\'(-inf-0.34]\'',3.5,1.5,Iris-setosa
-0.776911,'\'(-inf-0.34]\'',3.4,1.4,Iris-setosa
-1.380727,'\'(-inf-0.34]\'',3.2,1.6,Iris-setosa
-1.259964,'\'(-inf-0.34]\'',3.1,1.6,Iris-setosa
-0.535384,'\'(0.34-0.58]\'',3.4,1.5,Iris-setosa
-0.776911,'\'(-inf-0.34]\'',4.1,1.5,Iris-setosa
-0.414621,'\'(-inf-0.34]\'',4.2,1.4,Iris-setosa
-1.1392,'\'(-inf-0.34]\'',3.1,1.5,Iris-setosa
-1.018437,'\'(-inf-0.34]\'',3.2,1.2,Iris-setosa
-0.414621,'\'(-inf-0.34]\'',3.5,1.3,Iris-setosa
