@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2'

@attribute 'filtered-0-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-filtered-0-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-sepal width in cm' numeric
@attribute 'unfiltered-unfiltered-petal length in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.222222,'\'(0.15-0.25]\'',3.5,1.4,Iris-setosa
0.166667,'\'(0.15-0.25]\'',3,1.4,Iris-setosa
0.111111,'\'(0.15-0.25]\'',3.2,1.3,Iris-setosa
0.083333,'\'(0.15-0.25]\'',3.1,1.5,Iris-setosa
0.194444,'\'(0.15-0.25]\'',3.6,1.4,Iris-setosa
0.305556,'\'(0.25-0.55]\'',3.9,1.7,Iris-setosa
0.083333,'\'(0.25-0.55]\'',3.4,1.4,Iris-setosa
0.194444,'\'(0.15-0.25]\'',3.4,1.5,Iris-setosa
0.027778,'\'(0.15-0.25]\'',2.9,1.4,Iris-setosa
0.166667,'\'(-inf-0.15]\'',3.1,1.5,Iris-setosa
0.305556,'\'(0.15-0.25]\'',3.7,1.5,Iris-setosa
0.138889,'\'(0.15-0.25]\'',3.4,1.6,Iris-setosa
0.138889,'\'(-inf-0.15]\'',3,1.4,Iris-setosa
0,'\'(-inf-0.15]\'',3,1.1,Iris-setosa
0.416667,'\'(0.15-0.25]\'',4,1.2,Iris-setosa
0.388889,'\'(0.25-0.55]\'',4.4,1.5,Iris-setosa
0.305556,'\'(0.25-0.55]\'',3.9,1.3,Iris-setosa
0.222222,'\'(0.25-0.55]\'',3.5,1.4,Iris-setosa
0.388889,'\'(0.25-0.55]\'',3.8,1.7,Iris-setosa
0.222222,'\'(0.25-0.55]\'',3.8,1.5,Iris-setosa
0.305556,'\'(0.15-0.25]\'',3.4,1.7,Iris-setosa
0.222222,'\'(0.25-0.55]\'',3.7,1.5,Iris-setosa
0.083333,'\'(0.15-0.25]\'',3.6,1,Iris-setosa
0.222222,'\'(0.25-0.55]\'',3.3,1.7,Iris-setosa
0.138889,'\'(0.15-0.25]\'',3.4,1.9,Iris-setosa
0.194444,'\'(0.15-0.25]\'',3,1.6,Iris-setosa
0.194444,'\'(0.25-0.55]\'',3.4,1.6,Iris-setosa
0.25,'\'(0.15-0.25]\'',3.5,1.5,Iris-setosa
0.25,'\'(0.15-0.25]\'',3.4,1.4,Iris-setosa
0.111111,'\'(0.15-0.25]\'',3.2,1.6,Iris-setosa
0.138889,'\'(0.15-0.25]\'',3.1,1.6,Iris-setosa
0.305556,'\'(0.25-0.55]\'',3.4,1.5,Iris-setosa
0.25,'\'(-inf-0.15]\'',4.1,1.5,Iris-setosa
0.333333,'\'(0.15-0.25]\'',4.2,1.4,Iris-setosa
0.166667,'\'(-inf-0.15]\'',3.1,1.5,Iris-setosa
