@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-filtered-0-petal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.1]\'',0.041667,5.1,3.5,Iris-setosa
'\'(-inf-0.1]\'',0.041667,4.9,3,Iris-setosa
'\'(-inf-0.1]\'',0.041667,4.7,3.2,Iris-setosa
'\'(-inf-0.1]\'',0.041667,4.6,3.1,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5,3.6,Iris-setosa
'\'(0.1-0.2]\'',0.125,5.4,3.9,Iris-setosa
'\'(-inf-0.1]\'',0.083333,4.6,3.4,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5,3.4,Iris-setosa
'\'(-inf-0.1]\'',0.041667,4.4,2.9,Iris-setosa
'\'(-inf-0.1]\'',0,4.9,3.1,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5.4,3.7,Iris-setosa
'\'(0.1-0.2]\'',0.041667,4.8,3.4,Iris-setosa
'\'(-inf-0.1]\'',0,4.8,3,Iris-setosa
'\'(-inf-0.1]\'',0,4.3,3,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5.8,4,Iris-setosa
'\'(-inf-0.1]\'',0.125,5.7,4.4,Iris-setosa
'\'(-inf-0.1]\'',0.125,5.4,3.9,Iris-setosa
'\'(-inf-0.1]\'',0.083333,5.1,3.5,Iris-setosa
'\'(0.1-0.2]\'',0.083333,5.7,3.8,Iris-setosa
'\'(-inf-0.1]\'',0.083333,5.1,3.8,Iris-setosa
'\'(0.1-0.2]\'',0.041667,5.4,3.4,Iris-setosa
'\'(-inf-0.1]\'',0.125,5.1,3.7,Iris-setosa
'\'(-inf-0.1]\'',0.041667,4.6,3.6,Iris-setosa
'\'(0.1-0.2]\'',0.166667,5.1,3.3,Iris-setosa
'\'(0.1-0.2]\'',0.041667,4.8,3.4,Iris-setosa
'\'(0.1-0.2]\'',0.041667,5,3,Iris-setosa
'\'(0.1-0.2]\'',0.125,5,3.4,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5.2,3.5,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5.2,3.4,Iris-setosa
'\'(0.1-0.2]\'',0.041667,4.7,3.2,Iris-setosa
'\'(0.1-0.2]\'',0.041667,4.8,3.1,Iris-setosa
'\'(-inf-0.1]\'',0.125,5.4,3.4,Iris-setosa
'\'(-inf-0.1]\'',0,5.2,4.1,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5.5,4.2,Iris-setosa
'\'(-inf-0.1]\'',0,4.9,3.1,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5,3.2,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5.5,3.5,Iris-setosa
'\'(-inf-0.1]\'',0,4.9,3.1,Iris-setosa
'\'(-inf-0.1]\'',0.041667,4.4,3,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5.1,3.4,Iris-setosa
'\'(-inf-0.1]\'',0.083333,5,3.5,Iris-setosa
'\'(-inf-0.1]\'',0.083333,4.5,2.3,Iris-setosa
'\'(-inf-0.1]\'',0.041667,4.4,3.2,Iris-setosa
'\'(0.1-0.2]\'',0.208333,5,3.5,Iris-setosa
'\'(0.1-0.2]\'',0.125,5.1,3.8,Iris-setosa
'\'(-inf-0.1]\'',0.083333,4.8,3,Iris-setosa
'\'(0.1-0.2]\'',0.041667,5.1,3.8,Iris-setosa
'\'(-inf-0.1]\'',0.041667,4.6,3.2,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5.3,3.7,Iris-setosa
'\'(-inf-0.1]\'',0.041667,5,3.3,Iris-setosa
'\'(0.6-0.7]\'',0.541667,7,3.2,Iris-versicolor
'\'(0.5-0.6]\'',0.583333,6.4,3.2,Iris-versicolor
'\'(0.6-0.7]\'',0.583333,6.9,3.1,Iris-versicolor
'\'(0.5-0.6]\'',0.5,5.5,2.3,Iris-versicolor
'\'(0.6-0.7]\'',0.583333,6.5,2.8,Iris-versicolor
'\'(0.5-0.6]\'',0.5,5.7,2.8,Iris-versicolor
'\'(0.6-0.7]\'',0.625,6.3,3.3,Iris-versicolor
'\'(0.3-0.4]\'',0.375,4.9,2.4,Iris-versicolor
'\'(0.6-0.7]\'',0.5,6.6,2.9,Iris-versicolor
'\'(0.4-0.5]\'',0.541667,5.2,2.7,Iris-versicolor
'\'(0.4-0.5]\'',0.375,5,2,Iris-versicolor
'\'(0.5-0.6]\'',0.583333,5.9,3,Iris-versicolor
'\'(0.5-0.6]\'',0.375,6,2.2,Iris-versicolor
'\'(0.6-0.7]\'',0.541667,6.1,2.9,Iris-versicolor
'\'(0.4-0.5]\'',0.5,5.6,2.9,Iris-versicolor
'\'(0.5-0.6]\'',0.541667,6.7,3.1,Iris-versicolor
'\'(0.5-0.6]\'',0.583333,5.6,3,Iris-versicolor
'\'(0.5-0.6]\'',0.375,5.8,2.7,Iris-versicolor
'\'(0.5-0.6]\'',0.583333,6.2,2.2,Iris-versicolor
'\'(0.4-0.5]\'',0.416667,5.6,2.5,Iris-versicolor
