@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2'

@attribute 'filtered-0-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.067797,-1.308593,5.1,3.5,Iris-setosa
0.067797,-1.308593,4.9,3,Iris-setosa
0.050847,-1.308593,4.7,3.2,Iris-setosa
0.084746,-1.308593,4.6,3.1,Iris-setosa
0.067797,-1.308593,5,3.6,Iris-setosa
0.118644,-1.046525,5.4,3.9,Iris-setosa
0.067797,-1.177559,4.6,3.4,Iris-setosa
0.084746,-1.308593,5,3.4,Iris-setosa
0.067797,-1.308593,4.4,2.9,Iris-setosa
0.084746,-1.439627,4.9,3.1,Iris-setosa
0.084746,-1.308593,5.4,3.7,Iris-setosa
0.101695,-1.308593,4.8,3.4,Iris-setosa
0.067797,-1.439627,4.8,3,Iris-setosa
0.016949,-1.439627,4.3,3,Iris-setosa
0.033898,-1.308593,5.8,4,Iris-setosa
0.084746,-1.046525,5.7,4.4,Iris-setosa
0.050847,-1.046525,5.4,3.9,Iris-setosa
0.067797,-1.177559,5.1,3.5,Iris-setosa
0.118644,-1.177559,5.7,3.8,Iris-setosa
0.084746,-1.177559,5.1,3.8,Iris-setosa
0.118644,-1.308593,5.4,3.4,Iris-setosa
0.084746,-1.046525,5.1,3.7,Iris-setosa
0,-1.308593,4.6,3.6,Iris-setosa
0.118644,-0.915491,5.1,3.3,Iris-setosa
0.152542,-1.308593,4.8,3.4,Iris-setosa
0.101695,-1.308593,5,3,Iris-setosa
0.101695,-1.046525,5,3.4,Iris-setosa
0.084746,-1.308593,5.2,3.5,Iris-setosa
0.067797,-1.308593,5.2,3.4,Iris-setosa
0.101695,-1.308593,4.7,3.2,Iris-setosa
0.101695,-1.308593,4.8,3.1,Iris-setosa
0.084746,-1.046525,5.4,3.4,Iris-setosa
0.084746,-1.439627,5.2,4.1,Iris-setosa
0.067797,-1.308593,5.5,4.2,Iris-setosa
0.084746,-1.439627,4.9,3.1,Iris-setosa
0.033898,-1.308593,5,3.2,Iris-setosa
0.050847,-1.308593,5.5,3.5,Iris-setosa
0.084746,-1.439627,4.9,3.1,Iris-setosa
0.050847,-1.308593,4.4,3,Iris-setosa
0.084746,-1.308593,5.1,3.4,Iris-setosa
0.050847,-1.177559,5,3.5,Iris-setosa
0.050847,-1.177559,4.5,2.3,Iris-setosa
0.050847,-1.308593,4.4,3.2,Iris-setosa
0.101695,-0.784457,5,3.5,Iris-setosa
0.152542,-1.046525,5.1,3.8,Iris-setosa
0.067797,-1.177559,4.8,3,Iris-setosa
0.101695,-1.308593,5.1,3.8,Iris-setosa
0.067797,-1.308593,4.6,3.2,Iris-setosa
0.084746,-1.308593,5.3,3.7,Iris-setosa
0.067797,-1.308593,5,3.3,Iris-setosa
0.627119,0.263815,7,3.2,Iris-versicolor
0.59322,0.394849,6.4,3.2,Iris-versicolor
0.661017,0.394849,6.9,3.1,Iris-versicolor
