@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-filtered-0-petal length in cm' {'\'(-inf-0.059322]\'','\'(0.059322-0.076271]\'','\'(0.076271-0.09322]\'','\'(0.09322-0.40678]\'','\'(0.40678-0.533898]\'','\'(0.533898-0.601695]\'','\'(0.601695-0.669492]\'','\'(0.669492-0.737288]\'','\'(0.737288-0.805085]\'','\'(0.805085-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(0.059322-0.076271]\'',-1.308593,5.1,3.5,Iris-setosa
'\'(0.059322-0.076271]\'',-1.308593,4.9,3,Iris-setosa
'\'(-inf-0.059322]\'',-1.308593,4.7,3.2,Iris-setosa
'\'(0.076271-0.09322]\'',-1.308593,4.6,3.1,Iris-setosa
'\'(0.059322-0.076271]\'',-1.308593,5,3.6,Iris-setosa
'\'(0.09322-0.40678]\'',-1.046525,5.4,3.9,Iris-setosa
'\'(0.059322-0.076271]\'',-1.177559,4.6,3.4,Iris-setosa
'\'(0.076271-0.09322]\'',-1.308593,5,3.4,Iris-setosa
'\'(0.059322-0.076271]\'',-1.308593,4.4,2.9,Iris-setosa
'\'(0.076271-0.09322]\'',-1.439627,4.9,3.1,Iris-setosa
'\'(0.076271-0.09322]\'',-1.308593,5.4,3.7,Iris-setosa
'\'(0.09322-0.40678]\'',-1.308593,4.8,3.4,Iris-setosa
'\'(0.059322-0.076271]\'',-1.439627,4.8,3,Iris-setosa
'\'(-inf-0.059322]\'',-1.439627,4.3,3,Iris-setosa
'\'(-inf-0.059322]\'',-1.308593,5.8,4,Iris-setosa
'\'(0.076271-0.09322]\'',-1.046525,5.7,4.4,Iris-setosa
'\'(-inf-0.059322]\'',-1.046525,5.4,3.9,Iris-setosa
'\'(0.059322-0.076271]\'',-1.177559,5.1,3.5,Iris-setosa
'\'(0.09322-0.40678]\'',-1.177559,5.7,3.8,Iris-setosa
'\'(0.076271-0.09322]\'',-1.177559,5.1,3.8,Iris-setosa
'\'(0.09322-0.40678]\'',-1.308593,5.4,3.4,Iris-setosa
'\'(0.076271-0.09322]\'',-1.046525,5.1,3.7,Iris-setosa
'\'(-inf-0.059322]\'',-1.308593,4.6,3.6,Iris-setosa
'\'(0.09322-0.40678]\'',-0.915491,5.1,3.3,Iris-setosa
'\'(0.09322-0.40678]\'',-1.308593,4.8,3.4,Iris-setosa
'\'(0.09322-0.40678]\'',-1.308593,5,3,Iris-setosa
'\'(0.09322-0.40678]\'',-1.046525,5,3.4,Iris-setosa
'\'(0.076271-0.09322]\'',-1.308593,5.2,3.5,Iris-setosa
'\'(0.059322-0.076271]\'',-1.308593,5.2,3.4,Iris-setosa
'\'(0.09322-0.40678]\'',-1.308593,4.7,3.2,Iris-setosa
'\'(0.09322-0.40678]\'',-1.308593,4.8,3.1,Iris-setosa
'\'(0.076271-0.09322]\'',-1.046525,5.4,3.4,Iris-setosa
'\'(0.076271-0.09322]\'',-1.439627,5.2,4.1,Iris-setosa
