@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R2'

@attribute 'filtered-0-unfiltered-filtered-0-petal length in cm' {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',5.1,3.5,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',4.9,3,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',4.7,3.2,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',4.6,3.1,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',5,3.6,Iris-setosa
'\'(0.1-0.2]\'','\'(0.25-0.55]\'',5.4,3.9,Iris-setosa
'\'(-inf-0.1]\'','\'(0.25-0.55]\'',4.6,3.4,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',5,3.4,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',4.4,2.9,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-0.15]\'',4.9,3.1,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',5.4,3.7,Iris-setosa
'\'(0.1-0.2]\'','\'(0.15-0.25]\'',4.8,3.4,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-0.15]\'',4.8,3,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-0.15]\'',4.3,3,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',5.8,4,Iris-setosa
'\'(-inf-0.1]\'','\'(0.25-0.55]\'',5.7,4.4,Iris-setosa
'\'(-inf-0.1]\'','\'(0.25-0.55]\'',5.4,3.9,Iris-setosa
'\'(-inf-0.1]\'','\'(0.25-0.55]\'',5.1,3.5,Iris-setosa
'\'(0.1-0.2]\'','\'(0.25-0.55]\'',5.7,3.8,Iris-setosa
'\'(-inf-0.1]\'','\'(0.25-0.55]\'',5.1,3.8,Iris-setosa
'\'(0.1-0.2]\'','\'(0.15-0.25]\'',5.4,3.4,Iris-setosa
'\'(-inf-0.1]\'','\'(0.25-0.55]\'',5.1,3.7,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',4.6,3.6,Iris-setosa
'\'(0.1-0.2]\'','\'(0.25-0.55]\'',5.1,3.3,Iris-setosa
'\'(0.1-0.2]\'','\'(0.15-0.25]\'',4.8,3.4,Iris-setosa
'\'(0.1-0.2]\'','\'(0.15-0.25]\'',5,3,Iris-setosa
'\'(0.1-0.2]\'','\'(0.25-0.55]\'',5,3.4,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',5.2,3.5,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',5.2,3.4,Iris-setosa
'\'(0.1-0.2]\'','\'(0.15-0.25]\'',4.7,3.2,Iris-setosa
'\'(0.1-0.2]\'','\'(0.15-0.25]\'',4.8,3.1,Iris-setosa
'\'(-inf-0.1]\'','\'(0.25-0.55]\'',5.4,3.4,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-0.15]\'',5.2,4.1,Iris-setosa
'\'(-inf-0.1]\'','\'(0.15-0.25]\'',5.5,4.2,Iris-setosa
'\'(-inf-0.1]\'','\'(-inf-0.15]\'',4.9,3.1,Iris-setosa
