@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2'

@attribute 'filtered-0-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.34]\'','\'(0.34-0.58]\'','\'(0.58-0.82]\'','\'(0.82-1.06]\'','\'(1.06-1.3]\'','\'(1.3-1.54]\'','\'(1.54-1.78]\'','\'(1.78-2.02]\'','\'(2.02-2.26]\'','\'(2.26-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.067797,'\'(-inf-0.34]\'',5.1,3.5,Iris-setosa
0.067797,'\'(-inf-0.34]\'',4.9,3,Iris-setosa
0.050847,'\'(-inf-0.34]\'',4.7,3.2,Iris-setosa
0.084746,'\'(-inf-0.34]\'',4.6,3.1,Iris-setosa
0.067797,'\'(-inf-0.34]\'',5,3.6,Iris-setosa
0.118644,'\'(0.34-0.58]\'',5.4,3.9,Iris-setosa
0.067797,'\'(-inf-0.34]\'',4.6,3.4,Iris-setosa
0.084746,'\'(-inf-0.34]\'',5,3.4,Iris-setosa
0.067797,'\'(-inf-0.34]\'',4.4,2.9,Iris-setosa
0.084746,'\'(-inf-0.34]\'',4.9,3.1,Iris-setosa
0.084746,'\'(-inf-0.34]\'',5.4,3.7,Iris-setosa
0.101695,'\'(-inf-0.34]\'',4.8,3.4,Iris-setosa
0.067797,'\'(-inf-0.34]\'',4.8,3,Iris-setosa
0.016949,'\'(-inf-0.34]\'',4.3,3,Iris-setosa
0.033898,'\'(-inf-0.34]\'',5.8,4,Iris-setosa
0.084746,'\'(0.34-0.58]\'',5.7,4.4,Iris-setosa
0.050847,'\'(0.34-0.58]\'',5.4,3.9,Iris-setosa
0.067797,'\'(-inf-0.34]\'',5.1,3.5,Iris-setosa
0.118644,'\'(-inf-0.34]\'',5.7,3.8,Iris-setosa
0.084746,'\'(-inf-0.34]\'',5.1,3.8,Iris-setosa
0.118644,'\'(-inf-0.34]\'',5.4,3.4,Iris-setosa
0.084746,'\'(0.34-0.58]\'',5.1,3.7,Iris-setosa
0,'\'(-inf-0.34]\'',4.6,3.6,Iris-setosa
0.118644,'\'(0.34-0.58]\'',5.1,3.3,Iris-setosa
0.152542,'\'(-inf-0.34]\'',4.8,3.4,Iris-setosa
0.101695,'\'(-inf-0.34]\'',5,3,Iris-setosa
0.101695,'\'(0.34-0.58]\'',5,3.4,Iris-setosa
0.084746,'\'(-inf-0.34]\'',5.2,3.5,Iris-setosa
0.067797,'\'(-inf-0.34]\'',5.2,3.4,Iris-setosa
0.101695,'\'(-inf-0.34]\'',4.7,3.2,Iris-setosa
0.101695,'\'(-inf-0.34]\'',4.8,3.1,Iris-setosa
0.084746,'\'(0.34-0.58]\'',5.4,3.4,Iris-setosa
0.084746,'\'(-inf-0.34]\'',5.2,4.1,Iris-setosa
0.067797,'\'(-inf-0.34]\'',5.5,4.2,Iris-setosa
0.084746,'\'(-inf-0.34]\'',4.9,3.1,Iris-setosa
0.033898,'\'(-inf-0.34]\'',5,3.2,Iris-setosa
0.050847,'\'(-inf-0.34]\'',5.5,3.5,Iris-setosa
0.084746,'\'(-inf-0.34]\'',4.9,3.1,Iris-setosa
0.050847,'\'(-inf-0.34]\'',4.4,3,Iris-setosa
0.084746,'\'(-inf-0.34]\'',5.1,3.4,Iris-setosa
0.050847,'\'(-inf-0.34]\'',5,3.5,Iris-setosa
0.050847,'\'(-inf-0.34]\'',4.5,2.3,Iris-setosa
0.050847,'\'(-inf-0.34]\'',4.4,3.2,Iris-setosa
