@relation 'iris(Tf06KTbDb)-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Standardize-R3-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Discretize -F -B 10 -M -1.0 -R first-last-R4-weka.filters.unsupervised.attribute.PartitionedMultiFilter-Fweka.filters.unsupervised.attribute.Normalize -S 1.0 -T 0.0-R2'

@attribute 'filtered-0-unfiltered-filtered-0-petal length in cm' numeric
@attribute 'unfiltered-filtered-0-unfiltered-petal width in cm' {'\'(-inf-0.15]\'','\'(0.15-0.25]\'','\'(0.25-0.55]\'','\'(0.55-1.25]\'','\'(1.25-1.35]\'','\'(1.35-1.55]\'','\'(1.55-1.85]\'','\'(1.85-2.05]\'','\'(2.05-2.25]\'','\'(2.25-inf)\''}
@attribute 'unfiltered-unfiltered-unfiltered-sepal length in cm' numeric
@attribute 'unfiltered-unfiltered-unfiltered-sepal width in cm' numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.067797,'\'(0.15-0.25]\'',5.1,3.5,Iris-setosa
0.067797,'\'(0.15-0.25]\'',4.9,3,Iris-setosa
0.050847,'\'(0.15-0.25]\'',4.7,3.2,Iris-setosa
0.084746,'\'(0.15-0.25]\'',4.6,3.1,Iris-setosa
0.067797,'\'(0.15-0.25]\'',5,3.6,Iris-setosa
0.118644,'\'(0.25-0.55]\'',5.4,3.9,Iris-setosa
0.067797,'\'(0.25-0.55]\'',4.6,3.4,Iris-setosa
0.084746,'\'(0.15-0.25]\'',5,3.4,Iris-setosa
0.067797,'\'(0.15-0.25]\'',4.4,2.9,Iris-setosa
0.084746,'\'(-inf-0.15]\'',4.9,3.1,Iris-setosa
0.084746,'\'(0.15-0.25]\'',5.4,3.7,Iris-setosa
0.101695,'\'(0.15-0.25]\'',4.8,3.4,Iris-setosa
0.067797,'\'(-inf-0.15]\'',4.8,3,Iris-setosa
0.016949,'\'(-inf-0.15]\'',4.3,3,Iris-setosa
0.033898,'\'(0.15-0.25]\'',5.8,4,Iris-setosa
0.084746,'\'(0.25-0.55]\'',5.7,4.4,Iris-setosa
0.050847,'\'(0.25-0.55]\'',5.4,3.9,Iris-setosa
0.067797,'\'(0.25-0.55]\'',5.1,3.5,Iris-setosa
0.118644,'\'(0.25-0.55]\'',5.7,3.8,Iris-setosa
0.084746,'\'(0.25-0.55]\'',5.1,3.8,Iris-setosa
0.118644,'\'(0.15-0.25]\'',5.4,3.4,Iris-setosa
0.084746,'\'(0.25-0.55]\'',5.1,3.7,Iris-setosa
0,'\'(0.15-0.25]\'',4.6,3.6,Iris-setosa
0.118644,'\'(0.25-0.55]\'',5.1,3.3,Iris-setosa
0.152542,'\'(0.15-0.25]\'',4.8,3.4,Iris-setosa
0.101695,'\'(0.15-0.25]\'',5,3,Iris-setosa
0.101695,'\'(0.25-0.55]\'',5,3.4,Iris-setosa
0.084746,'\'(0.15-0.25]\'',5.2,3.5,Iris-setosa
0.067797,'\'(0.15-0.25]\'',5.2,3.4,Iris-setosa
0.101695,'\'(0.15-0.25]\'',4.7,3.2,Iris-setosa
0.101695,'\'(0.15-0.25]\'',4.8,3.1,Iris-setosa
0.084746,'\'(0.25-0.55]\'',5.4,3.4,Iris-setosa
0.084746,'\'(-inf-0.15]\'',5.2,4.1,Iris-setosa
0.067797,'\'(0.15-0.25]\'',5.5,4.2,Iris-setosa
0.084746,'\'(-inf-0.15]\'',4.9,3.1,Iris-setosa
0.033898,'\'(0.15-0.25]\'',5,3.2,Iris-setosa
0.050847,'\'(0.15-0.25]\'',5.5,3.5,Iris-setosa
0.084746,'\'(-inf-0.15]\'',4.9,3.1,Iris-setosa
0.050847,'\'(0.15-0.25]\'',4.4,3,Iris-setosa
0.084746,'\'(0.15-0.25]\'',5.1,3.4,Iris-setosa
0.050847,'\'(0.25-0.55]\'',5,3.5,Iris-setosa
0.050847,'\'(0.25-0.55]\'',4.5,2.3,Iris-setosa
0.050847,'\'(0.15-0.25]\'',4.4,3.2,Iris-setosa
0.101695,'\'(0.55-1.25]\'',5,3.5,Iris-setosa
0.152542,'\'(0.25-0.55]\'',5.1,3.8,Iris-setosa
0.067797,'\'(0.25-0.55]\'',4.8,3,Iris-setosa
0.101695,'\'(0.15-0.25]\'',5.1,3.8,Iris-setosa
0.067797,'\'(0.15-0.25]\'',4.6,3.2,Iris-setosa
0.084746,'\'(0.15-0.25]\'',5.3,3.7,Iris-setosa
0.067797,'\'(0.15-0.25]\'',5,3.3,Iris-setosa
0.627119,'\'(1.35-1.55]\'',7,3.2,Iris-versicolor
0.59322,'\'(1.35-1.55]\'',6.4,3.2,Iris-versicolor
0.661017,'\'(1.35-1.55]\'',6.9,3.1,Iris-versicolor
0.508475,'\'(1.25-1.35]\'',5.5,2.3,Iris-versicolor
0.610169,'\'(1.35-1.55]\'',6.5,2.8,Iris-versicolor
0.59322,'\'(1.25-1.35]\'',5.7,2.8,Iris-versicolor
0.627119,'\'(1.55-1.85]\'',6.3,3.3,Iris-versicolor
0.389831,'\'(0.55-1.25]\'',4.9,2.4,Iris-versicolor
0.610169,'\'(1.25-1.35]\'',6.6,2.9,Iris-versicolor
0.491525,'\'(1.35-1.55]\'',5.2,2.7,Iris-versicolor
0.423729,'\'(0.55-1.25]\'',5,2,Iris-versicolor
0.542373,'\'(1.35-1.55]\'',5.9,3,Iris-versicolor
0.508475,'\'(0.55-1.25]\'',6,2.2,Iris-versicolor
0.627119,'\'(1.35-1.55]\'',6.1,2.9,Iris-versicolor
0.440678,'\'(1.25-1.35]\'',5.6,2.9,Iris-versicolor
0.576271,'\'(1.35-1.55]\'',6.7,3.1,Iris-versicolor
0.59322,'\'(1.35-1.55]\'',5.6,3,Iris-versicolor
0.525424,'\'(0.55-1.25]\'',5.8,2.7,Iris-versicolor
0.59322,'\'(1.35-1.55]\'',6.2,2.2,Iris-versicolor
0.491525,'\'(0.55-1.25]\'',5.6,2.5,Iris-versicolor
0.644068,'\'(1.55-1.85]\'',5.9,3.2,Iris-versicolor
0.508475,'\'(1.25-1.35]\'',6.1,2.8,Iris-versicolor
0.661017,'\'(1.35-1.55]\'',6.3,2.5,Iris-versicolor
0.627119,'\'(0.55-1.25]\'',6.1,2.8,Iris-versicolor
0.559322,'\'(1.25-1.35]\'',6.4,2.9,Iris-versicolor
0.576271,'\'(1.35-1.55]\'',6.6,3,Iris-versicolor
0.644068,'\'(1.35-1.55]\'',6.8,2.8,Iris-versicolor
0.677966,'\'(1.55-1.85]\'',6.7,3,Iris-versicolor
0.59322,'\'(1.35-1.55]\'',6,2.9,Iris-versicolor
0.423729,'\'(0.55-1.25]\'',5.7,2.6,Iris-versicolor
0.474576,'\'(0.55-1.25]\'',5.5,2.4,Iris-versicolor
0.457627,'\'(0.55-1.25]\'',5.5,2.4,Iris-versicolor
0.491525,'\'(0.55-1.25]\'',5.8,2.7,Iris-versicolor
0.694915,'\'(1.55-1.85]\'',6,2.7,Iris-versicolor
0.59322,'\'(1.35-1.55]\'',5.4,3,Iris-versicolor
0.59322,'\'(1.55-1.85]\'',6,3.4,Iris-versicolor
0.627119,'\'(1.35-1.55]\'',6.7,3.1,Iris-versicolor
0.576271,'\'(1.25-1.35]\'',6.3,2.3,Iris-versicolor
0.525424,'\'(1.25-1.35]\'',5.6,3,Iris-versicolor
0.508475,'\'(1.25-1.35]\'',5.5,2.5,Iris-versicolor
0.576271,'\'(0.55-1.25]\'',5.5,2.6,Iris-versicolor
0.610169,'\'(1.35-1.55]\'',6.1,3,Iris-versicolor
0.508475,'\'(0.55-1.25]\'',5.8,2.6,Iris-versicolor
0.389831,'\'(0.55-1.25]\'',5,2.3,Iris-versicolor
0.542373,'\'(1.25-1.35]\'',5.6,2.7,Iris-versicolor
0.542373,'\'(0.55-1.25]\'',5.7,3,Iris-versicolor
0.542373,'\'(1.25-1.35]\'',5.7,2.9,Iris-versicolor
0.559322,'\'(1.25-1.35]\'',6.2,2.9,Iris-versicolor
